<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VKD,20201217,31.4,33.7,31.4,33.7,1100
VLB,20201217,33.1,33.1,33.1,33.1,500
VLC,20201217,42.6,45,42.1,43.5,119123
VLG,20201217,4.1,4.1,4,4,5300
VMG,20201217,4.5,4.7,4.1,4.7,10800
VNA,20201217,3.9,4,3.8,3.9,120004
VNB,20201217,15,15,13.1,13.1,200
VNH,20201217,0.9,1,0.9,1,48701
VNP,20201217,7.9,8,7.8,8,97110
VOC,20201217,23.2,23.6,22.8,22.8,561828
VPA,20201217,2.6,2.6,2.6,2.6,740
VPR,20201217,16.6,16.6,16.6,16.6,100
VRG,20201217,25.6,25.6,25.3,25.5,198441
VSE,20201217,6.5,6.5,6.5,6.5,1600
VSN,20201217,26.2,26.2,26,26,3300
VTD,20201217,11,11.1,10.6,10.7,76630
VTE,20201217,4.1,4.3,4.1,4.3,17700
VTK,20201217,30.4,30.5,30.3,30.4,15870
VTP,20201217,109.8,109.8,107.7,108.1,243950
VTR,20201217,38,38,37,37.9,27985
VTX,20201217,13.9,13.9,13.9,13.9,200
VW3,20201217,8.6,8.6,8.6,8.6,100
VXP,20201217,26,26,26,26,9800
WSB,20201217,47,47,46.5,47,1800
X26,20201217,20.8,20.8,20.8,20.8,100
XHC,20201217,23,24,23,24,1000
XMC,20201217,11.2,11.4,11.2,11.3,10931
XPH,20201217,6.1,6.1,6.1,6.1,4000
