<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SCS,20201209,125.1,125.9,125,125,21170
SFC,20201209,23.5,23.5,23.5,23.5,700
SFG,20201209,7.49,7.59,7.4,7.49,33080
SFI,20201209,30.4,31.7,30.4,31.5,14730
SGN,20201209,70,70,69.5,69.6,15310
SGR,20201209,20.2,20.5,20,20.1,22090
SHA,20201209,4.21,4.28,4.2,4.28,16290
SHI,20201209,9,9,8.9,9,468370
SHP,20201209,23.9,23.9,23.7,23.7,520
SII,20201209,16.25,17.85,16.25,17.85,130
SJD,20201209,16.7,16.9,16.7,16.7,200350
SJF,20201209,2.34,2.34,2.2,2.27,2270550
SJS,20201209,27,27.35,26.7,27,130490
SKG,20201209,10.6,10.75,10.55,10.6,290910
SMA,20201209,8.65,8.65,8.65,8.65,140
SMB,20201209,42.4,42.5,41.5,41.5,19410
SMC,20201209,15.1,15.5,15,15.25,298840
SPM,20201209,12.7,13.2,12.7,13.2,3100
SRC,20201209,18.5,19.1,18.2,18.45,56850
SRF,20201209,12.95,13.35,12.95,12.95,1190
SSC,20201209,50,50.1,50,50,220
SSI,20201209,22.2,23.2,22.2,22.7,13762100
ST8,20201209,10.15,10.9,10.15,10.9,15760
STB,20201209,15.9,16.2,15.9,15.9,18897260
STG,20201209,14.5,14.7,14.3,14.5,2000
STK,20201209,20.1,20.1,19.4,20.1,162910
SVC,20201209,72.4,72.4,72.4,72.4,10
SVI,20201209,75.1,75.2,75.1,75.2,470
SVT,20201209,13.5,13.5,13.5,13.5,120
SZC,20201209,29.8,30.45,29.55,29.6,906050
SZL,20201209,53.4,54.4,53.3,54,54680
TAC,20201209,43.5,43.8,43.1,43.6,34750
TBC,20201209,24.6,24.8,24.6,24.8,13030
TCB,20201209,25.1,25.9,25.05,25.75,19001670
TCD,20201209,11,11,10.6,10.6,9040
TCH,20201209,19.45,19.65,18.8,19.65,26878490
TCL,20201209,29.1,29.1,28.3,28.55,222250
TCM,20201209,39.5,42.2,39.1,42.2,706960
TCO,20201209,10.5,10.5,10.5,10.5,600
TCR,20201209,3.25,3.45,3.25,3.45,220
TCT,20201209,27.4,28.4,27.4,27.8,60670
TDC,20201209,9.73,9.73,9.62,9.66,432580
TDG,20201209,2.39,2.66,2.39,2.58,730820
TDH,20201209,8.5,8.7,8.36,8.51,6009000
TDM,20201209,27.5,27.5,27.1,27.25,640600
TDP,20201209,35.3,35.7,35,35.1,491470
TDW,20201209,25,25.75,25,25.75,850
TEG,20201209,4.5,4.59,4.5,4.59,32810
TGG,20201209,1.01,1.04,1.01,1.04,527150
THG,20201209,55,55.1,54.9,55,12330
THI,20201209,27,27,27,27,20
TIP,20201209,33.8,35,33.8,34.75,123880
TIX,20201209,29.15,29.3,29.15,29.3,20
TLD,20201209,5.4,5.69,5.38,5.59,631320
TLG,20201209,39,40.2,39,39.85,161650
TLH,20201209,6.46,6.47,6.32,6.32,540110
TMP,20201209,43.3,43.3,43,43.3,980
TMS,20201209,37.4,37.4,35.3,35.3,142110
TMT,20201209,6.2,6.3,5.7,5.86,54490
TN1,20201209,70,71,69.9,71,4670
TNA,20201209,13.3,13.75,13.25,13.7,516530
TNC,20201209,30.8,30.8,30.8,30.8,30
TNI,20201209,2.94,2.97,2.93,2.96,599940
TNT,20201209,1.78,1.78,1.74,1.75,97590
TPB,20201209,22.05,22.5,22,22.45,3548360
TPC,20201209,9,9.47,9,9.1,550
TRA,20201209,68.8,68.8,68.8,68.8,1020
TRC,20201209,36,36,36,36,10
