<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VAV,20201209,44.7,44.7,43.5,44.7,700
VBB,20201209,11.5,11.7,11.4,11.4,5010
VCA,20201209,10.6,10.6,10.6,10.6,2000
VCP,20201209,52,56.1,49.5,51.5,77575
VCR,20201209,18.9,19.4,18.9,19.2,177710
VE9,20201209,1.2,1.3,1.2,1.3,2135
VEA,20201209,51.9,52.7,50,51.1,506433
VEC,20201209,9,10,8.6,10,116701
VEF,20201209,86,86.5,85.6,86.3,9420
VFC,20201209,10.7,10.7,10.7,10.7,100
VFS,20201209,6.5,6.6,6.5,6.6,39500
VGG,20201209,48,51.5,48,51,169095
VGI,20201209,32,32.8,32,32.2,700936
VGT,20201209,9.4,9.5,9.4,9.5,228740
VGV,20201209,10,10.1,9.2,9.2,10300
VHG,20201209,0.8,0.8,0.7,0.8,136101
VIH,20201209,10,10,10,10,15
VIW,20201209,7.5,7.5,7,7,1300
VLB,20201209,34,34,34,34,2600
VLC,20201209,34.7,35.3,34.5,34.9,35284
VLG,20201209,4,4,3.9,3.9,1200
VMG,20201209,3.9,3.9,3.8,3.8,200
VNA,20201209,4.1,4.4,3.9,4.1,200052
VNB,20201209,11.9,14,11.9,13.9,700
VNH,20201209,0.8,0.9,0.8,0.9,193230
VNP,20201209,8.4,8.4,8,8.2,255680
VNX,20201209,65,65,65,65,700
VOC,20201209,20.8,21.3,20.6,21.1,274579
VPA,20201209,2,2,2,2,1620
VPR,20201209,14.5,14.5,14.5,14.5,10
VQC,20201209,14.2,14.2,14.2,14.2,2000
VRG,20201209,25.8,25.8,25.5,25.5,37059
VSN,20201209,25.7,25.7,25.4,25.5,6900
VTD,20201209,10.4,10.4,10.3,10.4,71740
VTE,20201209,4.2,4.3,4.2,4.3,3000
VTK,20201209,30.8,30.8,30.3,30.5,37054
VTP,20201209,110,110,108.8,109.5,78408
VTR,20201209,39,39,33,36.9,44544
VW3,20201209,9.2,9.2,7.2,7.2,600
VXT,20201209,18.1,20.8,18.1,20.8,1200
WSB,20201209,43.5,43.8,43.1,43.8,14800
WTC,20201209,22,22,22,22,10
XHC,20201209,25,25,25,25,200
XLV,20201209,10,10,10,10,110
XMC,20201209,10.3,10.4,9.5,10.4,2200
XPH,20201209,5.9,6.3,5.9,6.1,28100
YBC,20201209,14.6,14.6,14.6,14.6,100
