<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BSI,20201210,11.3,11.4,10.85,11,422450
BTP,20201210,13.85,13.95,13.85,13.95,11230
BTT,20201210,38.25,38.25,38.25,38.25,150
BVH,20201210,57.9,58,56.5,56.7,1116050
BWE,20201210,31.5,31.5,30,30,720780
C32,20201210,24.25,25.25,24.25,24.7,534880
C47,20201210,9.02,9.2,8.92,9.13,264920
CAV,20201210,69,70,69,70,1670
CCI,20201210,14.25,14.25,14.25,14.25,10
CCL,20201210,7.6,7.99,7.6,7.6,428720
CDC,20201210,24,24.55,23.85,24.55,269450
CEE,20201210,18,18,17.6,17.75,142430
CHP,20201210,19.55,19.6,19.4,19.5,16100
CIG,20201210,1.96,1.96,1.96,1.96,24260
CII,20201210,18.9,19.1,18.4,18.4,3336500
CKG,20201210,13.2,13.65,12.9,13.05,2411800
CLC,20201210,31.5,31.5,31.5,31.5,10
CLG,20201210,0.98,0.98,0.93,0.93,132860
CLL,20201210,30.45,30.45,30,30,720
CMG,20201210,32.8,32.9,32.45,32.6,123380
CMX,20201210,16,16.2,15.7,15.7,513810
CNG,20201210,19.55,19.55,19.3,19.5,43820
COM,20201210,47,47,47,47,150
AAA,20201210,13.25,13.3,12.85,12.85,2623550
AAM,20201210,11.5,11.5,11.45,11.5,5180
VNAll-INDEX,20201210,961.75,966.21,952.62,952.62,470952370
CCTD2001,20201210,0.3,0.3,0.04,0.18,29970
CDPM2002,20201210,4.6,4.6,4.02,4.09,205090
CFPT2008,20201210,2.22,2.29,2.12,2.12,444650
CFPT2009,20201210,3.41,3.41,3.21,3.21,1460
CFPT2010,20201210,12.46,12.46,8.17,8.17,26710
CFPT2011,20201210,2.34,2.39,2.2,2.2,287090
CFPT2012,20201210,2.23,2.23,2.02,2.02,803600
CFPT2013,20201210,4.9,4.98,4.88,4.92,15030
CFPT2014,20201210,3.35,3.35,3.35,3.35,2100
CFPT2015,20201210,2.01,2.09,1.98,1.98,130570
CFPT2016,20201210,2.6,2.6,2.44,2.46,515980
CHDB2003,20201210,2.66,2.66,2.48,2.48,202910
CHDB2007,20201210,2.2,2.25,2.14,2.2,296380
CHDB2008,20201210,1.64,1.64,1.59,1.59,174670
CHPG2002,20201210,8.54,8.54,8.15,8.15,24000
CHPG2010,20201210,3.75,3.85,3.53,3.8,1668300
CHPG2012,20201210,20.75,20.75,19.81,19.81,30200
CHPG2014,20201210,21.4,21.44,20.47,20.77,3550
CHPG2015,20201210,21.11,21.11,19.65,20.34,36800
CHPG2016,20201210,10,10,9.35,9.59,15730
CHPG2017,20201210,2.52,2.6,2.2,2.49,1621280
CHPG2018,20201210,2.75,2.75,2.45,2.53,1334870
CHPG2019,20201210,7.29,7.38,6,7,62130
CHPG2020,20201210,14.05,14.15,13.16,14.05,69340
CHPG2021,20201210,7,7.15,6.5,6.7,2589150
CHPG2022,20201210,6.11,6.39,5.83,6,786910
CHPG2023,20201210,10.1,10.15,8.9,9.35,272770
CHPG2024,20201210,5.75,5.75,5.7,5.73,13740
CHPG2025,20201210,6.7,6.7,6,6.09,34660
CKDH2001,20201210,1.54,1.68,1.54,1.6,202960
CKDH2002,20201210,1.82,1.94,1.82,1.9,31990
CKDH2003,20201210,1.25,1.4,1.25,1.31,568760
CMBB2007,20201210,3.81,3.86,3.62,3.66,148370
CMBB2008,20201210,5.44,5.58,5.1,5.25,43720
CMBB2009,20201210,3.17,3.22,3.01,3.01,802750
CMBB2010,20201210,5.7,6.62,5.7,6.44,165230
CMBB2011,20201210,5.1,6,5.1,5.6,192820
CMSN2001,20201210,3.88,3.88,3.72,3.72,14810
CMSN2006,20201210,5.91,5.91,5.56,5.56,9260
CMSN2007,20201210,3.1,3.1,2.93,2.93,408250
CMSN2009,20201210,2.72,2.72,2.56,2.57,327030
CMSN2010,20201210,15.62,15.77,15.3,15.35,11250
CMSN2011,20201210,6.96,6.96,6.66,6.66,6430
CMSN2012,20201210,13.15,13.8,13.15,13.8,40
CMSN2013,20201210,1.52,1.55,1.4,1.4,94170
CMSN2014,20201210,1.07,1.07,0.95,0.96,470370
CMWG2010,20201210,3.44,3.55,3.39,3.4,73610
CMWG2011,20201210,6,6,6,6,1000
CMWG2012,20201210,7.51,7.58,7.39,7.5,53100
CMWG2013,20201210,14.68,14.89,14.68,14.89,3700
CMWG2014,20201210,3.38,3.5,3.28,3.5,105280
CMWG2015,20201210,2.33,2.38,2.25,2.25,453300
CMWG2016,20201210,2.05,2.1,1.98,1.98,742140
CNVL2001,20201210,2.2,2.9,1.9,1.9,30090
CNVL2002,20201210,1.85,2.3,1.85,2,81210
CNVL2003,20201210,0.94,1.1,0.85,0.91,694980
CPNJ2006,20201210,2.05,2.1,1.9,1.9,144400
CPNJ2008,20201210,5.91,5.92,5.77,5.77,100070
CPNJ2009,20201210,2.93,2.95,2.83,2.83,392000
CPNJ2010,20201210,3.15,3.17,2.95,2.95,130070
CREE2005,20201210,3.59,4.01,3.59,3.78,24930
CREE2006,20201210,2.12,2.46,2.11,2.15,148000
CROS2002,20201210,0.01,0.02,0.01,0.01,1813180
CSBT2001,20201210,0.05,0.24,0.03,0.03,50330
CSBT2007,20201210,3.1,3.1,2.35,2.35,187840
CSTB2002,20201210,3.9,3.9,3.72,3.72,524900
CSTB2006,20201210,1.93,2.2,1.86,2.2,213930
CSTB2007,20201210,2.82,2.82,2.61,2.61,354730
CSTB2009,20201210,5,5,4.6,4.6,6150
CSTB2010,20201210,2.47,2.51,2.31,2.48,1061500
CSTB2011,20201210,2.7,2.7,2.41,2.49,108520
CSTB2012,20201210,3.61,3.61,3.24,3.24,165220
CSTB2013,20201210,4.41,4.41,4,4.01,491070
CSTB2014,20201210,4.87,4.87,3.99,4.48,234710
CSTB2015,20201210,1.53,1.54,1.36,1.36,480510
CSTB2016,20201210,1.83,1.83,1.68,1.69,33590
CTCB2007,20201210,3.04,3.04,2.42,2.8,765380
CTCB2008,20201210,2.9,2.9,2.6,2.6,199080
CTCB2009,20201210,5.14,5.14,4.8,4.8,294360
CTCB2010,20201210,2.76,3.49,2.61,2.63,1305820
CTCB2011,20201210,4.35,4.4,4.15,4.2,166610
CTCH2001,20201210,1.09,1.09,1.03,1.05,605950
CTCH2002,20201210,0.74,0.74,0.71,0.74,187710
CTCH2003,20201210,1.16,1.22,1.16,1.18,700710
CVHM2001,20201210,0.03,0.05,0.03,0.03,233040
CVHM2005,20201210,0.94,0.96,0.89,0.89,784330
CVHM2006,20201210,0.62,0.63,0.59,0.59,377310
CVHM2007,20201210,2.52,2.59,2.4,2.4,422100
CVHM2008,20201210,1.24,1.24,1.15,1.15,878980
CVHM2009,20201210,1.82,1.85,1.76,1.76,608250
CVHM2010,20201210,1.73,1.73,1.55,1.61,1221250
CVIC2001,20201210,0.03,0.04,0.03,0.04,43340
CVIC2004,20201210,0.9,0.9,0.87,0.9,86950
CVIC2005,20201210,1.7,1.74,1.64,1.65,159450
CVIC2006,20201210,2.44,2.48,2.33,2.34,630130
CVIC2007,20201210,0.67,0.69,0.64,0.66,652040
CVJC2001,20201210,0.02,0.02,0.02,0.02,101250
CVJC2004,20201210,0.94,0.94,0.89,0.9,157490
CVJC2005,20201210,2.2,2.23,2.14,2.14,198930
CVJC2006,20201210,1.18,1.19,1.12,1.14,588260
CVNM2002,20201210,0.08,0.2,0.08,0.12,344810
CVNM2007,20201210,1.22,1.39,1.22,1.3,393170
CVNM2008,20201210,2.36,2.55,2.36,2.39,608250
CVNM2010,20201210,2.75,3.02,2.75,2.85,575070
CVNM2011,20201210,0.99,1.08,0.99,1.03,928350
CVNM2012,20201210,5.4,6.5,5.4,5.99,130340
CVNM2013,20201210,1.59,1.78,1.59,1.73,1412380
CVNM2014,20201210,0.85,0.87,0.85,0.86,10200
CVNM2015,20201210,1.73,1.81,1.71,1.75,121490
CVNM2016,20201210,0.7,0.79,0.68,0.71,1216820
CVPB2008,20201210,3.3,3.35,3.11,3.16,355170
CVPB2010,20201210,6.05,6.05,5.86,5.86,30880
CVPB2011,20201210,3.13,3.13,2.97,2.97,403500
CVPB2012,20201210,3.27,3.31,3.18,3.3,873810
CVPB2013,20201210,3,4.29,3,4.09,11610
CVPB2014,20201210,2.82,2.85,2.65,2.65,86410
CVRE2003,20201210,0.02,0.02,0.01,0.01,243170
CVRE2007,20201210,0.4,0.42,0.4,0.42,186560
CVRE2008,20201210,1.03,1.03,0.95,0.96,141600
CVRE2009,20201210,0.69,0.76,0.67,0.74,586170
CVRE2010,20201210,0.52,0.62,0.52,0.6,57590
CVRE2011,20201210,0.88,0.89,0.83,0.87,324350
CVRE2012,20201210,1.22,1.3,1.2,1.25,433970
E1VFVN30,20201210,17,17,16.72,16.72,307670
FUEMAV30,20201210,11.85,12,11.75,11.85,294190
FUESSV30,20201210,12.42,12.45,12.34,12.35,5480
FUESSV50,20201210,14.8,14.8,14.65,14.7,30400
FUESSVFL,20201210,12.24,12.32,12.22,12.32,138880
FUEVFVND,20201210,15.77,15.86,15.67,15.68,408930
FUEVN100,20201210,13,13.01,12.99,13,2830
